break_id,name_en,name_br,name_fr,name_ge,name_po,name_ru,name_sc,name_sp,name_tr
SuperconductingComputing,Superconducting Computing,Computação Supercondutora,Calcul Supraconducteur,Supraleitende Datenverarbeitung,Komputery nadprzewodnikowe,Сверхпроводящие компьютеры,超导计算,Computación superconductora,Süper İletken Hesaplama
NanoRefinement,Nano Refinement,Nano Refinamento,Nano Raffinement,Nanoverbesserung,Nanorafinacja,Наноточность,纳米提纯,Nanorefinamiento,Nano Arıtım
ArtificialMuscles,Artificial Muscles,Músculos Artificiais,Muscles Artificiels,Künstliche Muskeln,Sztuczne mięśnie,Искусственные мышцы,人工纤维肌肉,Músculos artificiales,Yapay Kaslar
InspiringArchitecture,Inspiring Architecture,Arquitetura Inspiradora,Architecture Exaltante,Inspirierende Architektur,Porywająca architektura,Вдохновляющая архитектура,激励性建筑,Arquitectura inspiradora,İlham Verici Mimari
GiantCrops,Giant Crops,Plantações Gigantes,Cultures Géantes,Riesige Nutzpflanzen,Wielkie uprawy,Гигантские с/х культуры,巨型作物,Cultivos gigantes,Dev Mahsuller
NeoConcrete,Neo-Concrete,Neoconcreto,Néo-Béton,Neo-Beton,Neocement,Необетон,新型混凝土,Neohormigón,Yeni Beton
AdvancedDroneDrive,Advanced Drone Drive,Motor de Drone Avançado,Conduite Avancée de drone,Verbesserter Drohnenantrieb,Zaawansowany napęd dronów,Улучшенный двигатель для дронов,高级无人机引擎,Pilotaje avanzado de drones,Gelişmiş Drone Sürüşü
DryFarming,Dry Farming,Cultivo Seco,Culture à Sec,Trockenfeldbau,Rolnictwo na sucho,Сухое земледелие,旱作农业,Agricultura de secano,Kuru Çiftçilik
MartianSteel,Martian Steel,Aço Marciano,Acier Martien,Marsstahl,Marsjańska stal,Марсианская сталь,火星锻钢技术,Acero Marciano,Mars Çeliği
VectorPump,Vector Pump,Bomba de Vetores,Pompe Vectorielle,Vektorpumpe,Pompa wektorowa,Векторный насос,矢量泵,Bomba de vector,Vektör Pompa
Superfungus,Superfungus,Superfungos,Super Champignon,Superpilz,Supergrzyb,Супергриб,超级真菌,Superhongos,Süpermantar
HypersensitivePhotovoltaics,Hypersensitive Photovoltaics,Fotovoltaicos Supersensíveis,Photovoltaïque Hypersensible,Hochempfindliche Fotovoltaik,Hiperczuła fotowoltaika,Гиперчувствительная гелиотехника,超感光伏技术,Células fotovoltaicas hipersensibles,Aşırı Duyarlı Fotovoltaikler
FrictionlessComposites,Frictionless Composites,Compósitos sem Atrito,Composites sans frottement,Reibungsfreie Verbundwerkstoffe,Kompozyty beztarciowe,Гладкие композиты,无阻力复合材料,Compuestos sin fricción,Sürtünmesiz Kompozit Malzemeler
ZeroSpaceComputing,Zero-Space Computing,Computação de Espaço-Zero,Calcul en Espace Zéro,Nullvektorraumdatenverarbeitung,Matematyka zerowymiarowa,Нуль-пространственные вычисления,零维空间计算,Informática de espacio cero,Sıfır Uzay Hesaplama
MultispiralArchitecture,Multispiral Architecture,Arquitetura Multiespiral,Architecture à Multiples Spirales,Multispiralarchitektur,Architektura wieloiglicowa,Просторный купол,复式螺旋结构,Arquitectura de múltiples torres,Çoklu Silindir Mimarisi
MagneticExtraction,Magnetic Extraction,Extração Magnética,Extraction Magnétique,Magnetische Extraktion,Ekstrakcja magnetyczna,Магнитная добыча,磁性萃取,Extracción magnética,Manyetik Kaynak Çıkarma
SustainedWorkload,Sustained Workload,Carga de Trabalho Contínua,Charge de travail soutenue,Kontinuierliche Auslastung,Odporność na obciążenie,Постоянная нагрузка,持久工作,Carga de trabajo constante,Sürdürülebilir İş Yükü
ForeverYoung,Forever Young,Eternamente Jovem,Jeunesse Éternelle,Ewig jung,Wieczna młodość,Вечная молодость,青春永驻,Siempre jóvenes,Ebedi Gençlik
MartianbornIngenuity,Martianborn Ingenuity,Genialidade dos Nascidos em Marte,Ingéniosité Martienne,Marsianischer Einfallsreichtum,Pomysłowość Marsjan,Марсианская изобретательность,火星之子天赋,Ingenio de los nacidos en Marte,Mars Doğumlu Hüneri
CryoSleep,Cryo-sleep,Sono Criogênico,Sommeil Cryogénique,Kryoschlaf,Kriosen,Криосон,冷冻睡眠技术,Criopreservación,Donuk Uyku
Cloning,Cloning,Clonagem,Clonage,Klonen,Klonowanie,Клонирование,克隆技术,Clonación,Klonlama
GoodVibrations,Good Vibrations,Boas Vibrações,Bonnes Vibrations,Gute Schwingungen,Pozytywne wibracje,Позитивные колебания,有益振动,Buenas vibraciones,Yararlı Titreşimler
DomeStreamlining,Dome Streamlining,Racionalização dos Domos,Profilage du Dôme,Kuppeloptimierung,Ulepszanie kopuł,Оптимизация куполов,流线型穹顶,Optimización de cúpulas,Kubbe Şekillendirme
PrefabCompression,Prefab Compression,Compressão Pré-fabricada,Compression de Préfabriqué,Fertigteilkomprimierung,Kompresja prefabrykatów,Компактные модули,预制件压缩,Reducción de prefabricados,Prefabrik Yapı Sıkıştırma
ExtractorAI,Extractor AI,IA de Extrator,IA d'Extracteur,Extraktoren-KI,SI ekstraktorów,Экстракторы с искусственным интеллектом,挖掘站人工智能,Extractor IA,Sondaj Tesisi Yapay Zekâsı
ServiceBots,Service Bots,Bots de Serviço,Robots de Service,Service-Bots,Roboty usługowe,Служебные роботы,服务型机器人,Bots de servicio,Hizmet Robotları
OverchargeAmplification,Overcharge Amplifications,Ampliações de Sobrecarga,Amplification de Surcharge,Überladungsverstärkungen,Przeładowanie wzmocnień,Сверхмощная модификация,增产过载,Amplificación de la sobrecarga,Ekstra Hacim Genişleticiler
PlutoniumSynthesis,Plutonium Synthesis,Síntese de Plutônio,Synthèse du Plutonium,Plutonium-Synthese,Synteza plutonu,Синтез плутония,钚合成,Síntesis de plutonio,Plütonyum Sentezi
InterplanetaryLearning,Interplanetary Learning,Aprendizado Interplanetário,Apprentissage Interplanétaire,Interplanetares Lernen,Edukacja międzyplanetarna,Межпланетный обмен опытом,星际学习,Aprendizaje interplanetario,Gezegenlerarası Öğrenme
Vocation-Oriented Society,Vocation-Oriented Society,Sociedade Voltada para Vocação,Société Axée sur la Vocation,Berufsorientierte Gesellschaft,Społeczeństwo powołania,Общество профессионалов,职业导向型社会,Sociedad vocacional,Meslek Odaklı Toplum
PlasmaRocket,Plasma Rocket,Foguete de Plasma,Fusée à Plasma,Plasmarakete,Rakieta plazmowa,Плазменная ракета,等离子火箭,Cohete de plasma,Plazma Roket
AutonomousHubs,Autonomous Hubs,Centrais Autônomas,Réseaux Autonomes,Automatisierte Hubs,Autonomiczne gniazda,Автономные ЦУ,自给型控制中心,Estaciones autónomas,Otonom İstasyonlar
FactoryAutomation,Factory Automation,Automação de Fábricas,Automatisation de l'Usine,Automatisierte Fabriken,Automatyzacja fabryk,Автоматизация фабрик,工厂自动化,Automatización de fábrica,Fabrika Otomasyonu
GemArchitecture,Gem Architecture,Arquitetura em Gema,Architecture géométrique,Edelsteinstruktur,Architektura krystaliczna,Новая архитектура,宝石结构建筑,Arquitectura de gemas,Mücevher Mimari
